fecha_utc,fecha_bolivia,mercado,fiat,lado,mejor_precio_bruto,mejor_precio_limpio,promedio_top5_limpio,mediana_top10,descartados,precios_descartados,cantidad_anuncios,liquidez_total_usdt,mejor_min_orden,mejor_max_orden,mejor_comerciante,mejor_tipo,mejor_ordenes_mes,mejor_tasa_completado,metodos_pago_vistos,promocionados,precio_promocionado
2026-07-30 01:14:12,2026-07-29 21:14:12,USD-Zinli,USD,venta,1.01,1.01,1.0084,1.007,0,,20,3806.65,50,1000,cambiosfa14,user,636,0.973,MercantilBankPanama|Zinli,1,0.968
2026-07-30 01:14:12,2026-07-29 21:14:12,BOB-todos,BOB,compra,11.91,11.91,11.916,11.92,0,,20,204560.09,3000,200000,CRYPTOtop1CBBA,merchant,786,0.993,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,1,12.2
2026-07-30 01:14:12,2026-07-29 21:14:12,BOB-todos,BOB,venta,11.88,11.88,11.876,11.87,0,,20,664994.84,8000,207585,Cripto_Online,merchant,7599,0.983,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.7
2026-07-30 10:06:56,2026-07-30 06:06:56,USD-Zinli,USD,compra,1.016,1.016,1.0172,1.019,0,,20,41414.16,200,1508,PAGOSCRYPTO507,merchant,816,0.99,ACHXpressPanama|MercantilBankPanama|Towerbank|WallyTech|Zinli,0,
2026-07-30 10:06:56,2026-07-30 06:06:56,USD-Zinli,USD,venta,1.01,1.01,1.0042,1.0015,0,,20,14154.84,100,299,P2P-f310a520,user,29,0.853,MercantilBankPanama|Mony|Zinli,0,
2026-07-30 10:06:56,2026-07-30 06:06:56,BOB-todos,BOB,compra,11.92,11.92,11.924,11.93,0,,20,99418.18,3000,207585,AL ROMERO ,merchant,899,0.992,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,0,
2026-07-30 10:06:56,2026-07-30 06:06:56,BOB-todos,BOB,venta,11.88,11.88,11.874,11.87,0,,20,416332.95,2000,100000,CRYPTOtop1CBBA,merchant,895,0.994,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,0,
2026-07-30 16:14:39,2026-07-30 12:14:39,USD-Zinli,USD,compra,1.014,1.014,1.0144,1.015,0,,20,31151.09,100,1500,Davyjonespty,merchant,352,0.998,ACHXpressPanama|BancoGeneralPanama|Banesco|BanistmoPanama|CajadeahorrosPanama|MercantilBankPanama|Mony|PuntoPagoPanama|Towerbank|Zinli,0,
2026-07-30 16:14:39,2026-07-30 12:14:39,USD-Zinli,USD,venta,1.008,1.008,1.0062,1.005,0,,20,6419.14,40,130,Cj_sm20,user,132,0.993,ACHXpressPanama|MercantilBankPanama|Mony|Zinli,0,
2026-07-30 16:14:39,2026-07-30 12:14:39,BOB-todos,BOB,compra,11.88,11.88,11.89,11.9,0,,20,40120.56,1000,138390,P2P-66394b1b,user,26,1.0,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.99
2026-07-30 16:14:39,2026-07-30 12:14:39,BOB-todos,BOB,venta,11.96,11.96,11.886,11.86,0,,20,672867.21,50000,138390,P2P-72f993a5,user,32,0.712,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.78
2026-07-30 20:45:40,2026-07-30 16:45:40,USD-Zinli,USD,compra,1.011,1.011,1.0124,1.013,0,,20,24142.17,20,55,Drek50,user,79,0.859,ACHXpressPanama|AirTM|Towerbank|Zinli,0,
2026-07-30 20:45:40,2026-07-30 16:45:40,USD-Zinli,USD,venta,1.007,1.007,1.0052,1.0035,0,,20,3858.7,998,999,COMERCIAYUNJIVEN,user,152,0.956,ACHXpressPanama|BanistmoPanama|MercantilBankPanama|Mony|YappyPanama|Zinli,1,0.968
2026-07-30 20:45:40,2026-07-30 16:45:40,BOB-todos,BOB,compra,11.88,11.88,11.888,11.89,0,,20,66397.93,55,500,dolaresabolivianos,user,37,1.0,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,1,11.99
2026-07-30 20:45:40,2026-07-30 16:45:40,BOB-todos,BOB,venta,11.87,11.87,11.868,11.86,0,,20,697133.11,10000,207500,Liquidity_Exchange,merchant,1661,0.99,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,1,11.57
2026-07-31 08:17:43,2026-07-31 04:17:43,USD-Zinli,USD,compra,1.015,1.032,1.0376,1.0405,1,1.015,20,31838.51,10,108,Tk-777,user,9,1.0,ACHXpressPanama|BankofAmerica|MercantilBankPanama|Mony|PuntoPagoPanama|Towerbank|TransferenciaACH|WallyTech|YappyPanama|Zelle|Zinli,0,
2026-07-31 08:17:43,2026-07-31 04:17:43,USD-Zinli,USD,venta,1.021,1.021,1.0176,1.0135,0,,20,12149.57,249,250,RecargaExpress15,user,18,1.0,Zinli,0,
2026-07-31 08:17:43,2026-07-31 04:17:43,BOB-todos,BOB,compra,12.05,12.05,12.064,12.07,0,,20,120543.25,55,22380,MALEKITH_,user,24,1.0,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,0,
2026-07-31 08:17:43,2026-07-31 04:17:43,BOB-todos,BOB,venta,12.03,12.03,12.022,12.015,0,,20,504366.14,2000,90000,CRYPTOtop1CBBA,merchant,1300,0.984,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,0,
2026-07-31 16:08:33,2026-07-31 12:08:33,USD-Zinli,USD,compra,1.027,1.027,1.0278,1.0285,0,,20,54545.06,10,1500,Kotoamatsukamik,user,587,0.995,ACHXpressPanama|MercantilBankPanama|Mony|PuntoPagoPanama|Towerbank|TransferenciaACH|Zinli,1,1.095
2026-07-31 16:08:33,2026-07-31 12:08:33,USD-Zinli,USD,venta,1.026,1.026,1.0242,1.0225,0,,20,9375.18,1000,1000,UNKN-OWN_1,user,49,0.943,Towerbank|Zinli,1,0.969
2026-07-31 16:08:33,2026-07-31 12:08:33,BOB-todos,BOB,compra,11.94,11.94,11.954,11.96,0,,20,175141.91,1000,2000,carlamodestafernadez,user,177,0.922,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,1,12.1
